cycle, observation, reward, action, explored, explore_rate, total reward, average reward
19797, 0, 0, 1, 0, 5.00536e-10, 15213, 0.76845
19798, 1, 1, 1, 0, 5.00035e-10, 15214, 0.768461
19799, 1, 1, 1, 0, 4.99535e-10, 15215, 0.768473
19800, 1, 1, 1, 0, 4.99035e-10, 15216, 0.768485
19801, 1, 1, 1, 0, 4.98536e-10, 15217, 0.768497
19802, 1, 1, 1, 0, 4.98038e-10, 15218, 0.768508
19803, 1, 1, 1, 0, 4.9754e-10, 15219, 0.76852
19804, 1, 1, 1, 0, 4.97042e-10, 15220, 0.768532
19805, 1, 1, 1, 0, 4.96545e-10, 15221, 0.768543
19806, 1, 1, 1, 0, 4.96049e-10, 15222, 0.768555
19807, 0, 0, 1, 0, 4.95553e-10, 15222, 0.768516
19808, 1, 1, 1, 0, 4.95057e-10, 15223, 0.768528
19809, 0, 0, 1, 0, 4.94562e-10, 15223, 0.768489
19810, 0, 0, 1, 0, 4.94067e-10, 15223, 0.76845
19811, 1, 1, 1, 0, 4.93573e-10, 15224, 0.768462
19812, 1, 1, 1, 0, 4.9308e-10, 15225, 0.768474
19813, 1, 1, 1, 0, 4.92587e-10, 15226, 0.768485
19814, 1, 1, 1, 0, 4.92094e-10, 15227, 0.768497
19815, 1, 1, 1, 0, 4.91602e-10, 15228, 0.768509
19816, 1, 1, 1, 0, 4.9111e-10, 15229, 0.76852
19817, 1, 1, 0, 0, 4.90619e-10, 15230, 0.768532
19818, 1, 0, 1, 0, 4.90129e-10, 15230, 0.768493
19819, 0, 0, 1, 0, 4.89639e-10, 15230, 0.768455
19820, 1, 1, 1, 0, 4.89149e-10, 15231, 0.768466
19821, 0, 0, 1, 0, 4.8866e-10, 15231, 0.768427
19822, 1, 1, 1, 0, 4.88171e-10, 15232, 0.768439
19823, 1, 1, 1, 0, 4.87683e-10, 15233, 0.768451
19824, 1, 1, 1, 0, 4.87195e-10, 15234, 0.768462
19825, 1, 1, 1, 0, 4.86708e-10, 15235, 0.768474
19826, 1, 1, 0, 0, 4.86221e-10, 15236, 0.768486
19827, 0, 1, 1, 0, 4.85735e-10, 15237, 0.768498
19828, 0, 0, 1, 0, 4.85249e-10, 15237, 0.768459
19829, 1, 1, 1, 0, 4.84764e-10, 15238, 0.76847
19830, 1, 1, 1, 0, 4.84279e-10, 15239, 0.768482
19831, 1, 1, 1, 0, 4.83795e-10, 15240, 0.768494
19832, 1, 1, 1, 0, 4.83311e-10, 15241, 0.768505
19833, 1, 1, 0, 0, 4.82828e-10, 15242, 0.768517
19834, 1, 0, 1, 0, 4.82345e-10, 15242, 0.768478
19835, 1, 1, 1, 0, 4.81863e-10, 15243, 0.76849
19836, 1, 1, 1, 0, 4.81381e-10, 15244, 0.768502
19837, 0, 0, 1, 0, 4.809e-10, 15244, 0.768463
19838, 1, 1, 1, 0, 4.80419e-10, 15245, 0.768475
19839, 1, 1, 1, 0, 4.79938e-10, 15246, 0.768486
19840, 1, 1, 1, 0, 4.79458e-10, 15247, 0.768498
19841, 1, 1, 1, 0, 4.78979e-10, 15248, 0.76851
19842, 1, 1, 1, 0, 4.785e-10, 15249, 0.768521
19843, 1, 1, 1, 0, 4.78021e-10, 15250, 0.768533
