cycle, observation, reward, action, explored, explore_rate, total reward, average reward
19588, 2, 0, 1, 0, 3.05389e-09, 22125, 1.12952
19589, 2, 2, 0, 0, 3.05083e-09, 22127, 1.12956
19590, 1, 2, 0, 0, 3.04778e-09, 22129, 1.12961
19591, 0, 1, 0, 0, 3.04474e-09, 22130, 1.1296
19592, 2, 0, 1, 0, 3.04169e-09, 22130, 1.12954
19593, 2, 2, 0, 0, 3.03865e-09, 22132, 1.12959
19594, 1, 2, 1, 0, 3.03561e-09, 22134, 1.12963
19595, 2, 2, 0, 0, 3.03257e-09, 22136, 1.12968
19596, 0, 1, 0, 0, 3.02954e-09, 22137, 1.12967
19597, 2, 0, 1, 0, 3.02651e-09, 22137, 1.12961
19598, 2, 2, 0, 0, 3.02349e-09, 22139, 1.12966
19599, 0, 1, 0, 0, 3.02046e-09, 22140, 1.12965
19600, 2, 0, 1, 0, 3.01744e-09, 22140, 1.12959
19601, 2, 2, 0, 0, 3.01442e-09, 22142, 1.12964
19602, 0, 1, 0, 0, 3.01141e-09, 22143, 1.12963
19603, 2, 0, 1, 0, 3.0084e-09, 22143, 1.12957
19604, 2, 2, 0, 0, 3.00539e-09, 22145, 1.12962
19605, 2, 0, 1, 0, 3.00238e-09, 22145, 1.12956
19606, 2, 2, 0, 0, 2.99938e-09, 22147, 1.1296
19607, 2, 0, 1, 0, 2.99638e-09, 22147, 1.12955
19608, 2, 2, 1, 0, 2.99339e-09, 22149, 1.12959
19609, 2, 2, 0, 0, 2.99039e-09, 22151, 1.12963
19610, 0, 1, 0, 0, 2.9874e-09, 22152, 1.12963
19611, 0, 1, 2, 0, 2.98442e-09, 22153, 1.12962
19612, 2, 1, 1, 0, 2.98143e-09, 22154, 1.12961
19613, 0, 0, 0, 0, 2.97845e-09, 22154, 1.12956
19614, 0, 1, 2, 0, 2.97547e-09, 22155, 1.12955
19615, 2, 1, 2, 0, 2.9725e-09, 22156, 1.12954
19616, 2, 1, 0, 0, 2.96952e-09, 22157, 1.12954
19617, 0, 1, 0, 0, 2.96655e-09, 22158, 1.12953
19618, 1, 2, 0, 0, 2.96359e-09, 22160, 1.12957
19619, 2, 0, 1, 0, 2.96062e-09, 22160, 1.12952
19620, 2, 2, 2, 0, 2.95766e-09, 22162, 1.12956
19621, 1, 0, 0, 0, 2.95471e-09, 22162, 1.1295
